Date,Close,Percentage Change,Average
12/31/1915,"5.0000", ,"5.0233"
12/29/1916,"5.0000",0.00%,"5.0000"
12/31/1917,"5.0000",0.00%,"5.0000"
12/31/1918,"5.0000",0.00%,"5.0000"
12/31/1919,"5.0000",0.00%,"5.0000"
12/31/1920,"5.0000",0.00%,"5.0000"
12/31/1921,"5.0000",0.00%,"5.0000"
12/30/1922,"5.0000",0.00%,"5.0000"
12/31/1923,"5.0000",0.00%,"5.0000"
12/31/1924,"5.0000",0.00%,"5.0000"
12/31/1925,"5.0000",0.00%,"5.0000"
12/31/1926,"5.0000",0.00%,"5.0000"
12/31/1927,"5.0000",0.00%,"5.0000"
12/31/1928,"5.0000",0.00%,"5.0000"
12/31/1929,"5.0000",0.00%,"5.0000"
12/31/1930,"5.0000",0.00%,"5.0000"
12/31/1931,"5.0000",0.00%,"5.0000"
12/31/1932,"5.0000",0.00%,"5.0000"
12/30/1933,"5.0000",0.00%,"5.0000"
12/31/1934,"5.0000",0.00%,"5.0000"
12/31/1935,"5.0000",0.00%,"5.0000"
12/31/1936,"5.0000",0.00%,"5.0000"
12/31/1937,"5.0000",0.00%,"5.0000"
12/31/1938,"5.0000",0.00%,"5.0000"
12/30/1939,"5.0000",0.00%,"5.0000"
12/31/1940,"5.0000",0.00%,"5.0000"
12/31/1941,"5.0000",0.00%,"5.0000"
12/31/1942,"5.0000",0.00%,"5.0000"
12/31/1943,"5.0000",0.00%,"5.0000"
12/30/1944,"5.0000",0.00%,"5.0000"
12/31/1945,"5.0000",0.00%,"5.0000"
12/31/1946,"5.0000",0.00%,"5.0000"
12/31/1947,"5.0000",0.00%,"5.0000"
12/31/1948,"5.0000",0.00%,"5.0000"
12/31/1949,"5.0000",0.00%,"5.0000"
12/31/1950,"5.0000",0.00%,"5.0000"
12/31/1951,"5.0000",0.00%,"5.0000"
12/31/1952,"5.0000",0.00%,"5.0000"
