country1,ccode1,year,xr_gfd,xr_gfd_trade
Czechoslovakia,315,1915,6.5216999,6.5216999
Czechoslovakia,315,1916,7.9667001,7.9667001
Czechoslovakia,315,1917,10.4067,10.4067
Czechoslovakia,315,1918,10.3008,10.3008
Czechoslovakia,315,1919,26.978701,26.978701
Czechoslovakia,315,1920,66.702499,66.702499
Czechoslovakia,315,1921,80.577698,80.577698
Czechoslovakia,315,1922,44.228699,44.228699
Czechoslovakia,315,1923,33.833599,33.833599
Czechoslovakia,315,1924,33.812599,33.812599
Czechoslovakia,315,1925,33.7038,33.7038
Czechoslovakia,315,1926,33.742599,33.742599
Czechoslovakia,315,1927,33.762001,33.762001
Czechoslovakia,315,1928,33.7915,33.7915
Czechoslovakia,315,1929,33.787399,33.787399
Czechoslovakia,315,1930,33.7495,33.7495
Czechoslovakia,315,1931,33.775002,33.775002
Czechoslovakia,315,1932,33.7943,33.7943
Czechoslovakia,315,1933,27.1614,27.1614
Czechoslovakia,315,1934,23.623899,23.623899
Czechoslovakia,315,1935,24.027901,24.027901
Czechoslovakia,315,1936,25.1014,25.1014
Czechoslovakia,315,1937,28.634701,28.634701
Czechoslovakia,315,1938,26.7458,26.7458
Czechoslovakia,315,1939,24.1259,24.1259
Czechoslovakia,315,1940,24.997299,24.997299
Czechoslovakia,315,1941,24.9753,24.9753
Czechoslovakia,315,1942,24.924999,24.924999
Czechoslovakia,315,1943,24.9111,24.9111
Czechoslovakia,315,1944,24.872299,24.872299
Czechoslovakia,315,1945,30.672001,30.672001
Czechoslovakia,315,1946,50,50
Czechoslovakia,315,1947,50,50
Czechoslovakia,315,1948,50,50
Czechoslovakia,315,1949,50,50
Czechoslovakia,315,1950,50,50
Czechoslovakia,315,1951,50,50
Czechoslovakia,315,1952,50,50
